      Lon      Lat    Year  Fraction
    21.75    37.75    2120      0.76
    21.75    37.75    2121      0.76
    21.75    37.75    2122      0.76
    21.75    37.75    2123      0.76
    21.75    37.75    2124      0.76
    21.75    37.75    2125      0.76
    21.75    37.75    2126      0.76
    21.75    37.75    2127      0.76
    21.75    37.75    2128      0.76
    21.75    37.75    2129      0.76
    21.75    37.75    2130      0.76
